time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2024/07/05/10:37:54.208390,6782,1720190274,187652879,imu_link,-0.005249149166047573,0.012075074948370457,-0.6532393097877502,-0.7570369839668274,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.003192675532773137,-0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.08140286058187485,-0.05267243832349777,9.509769439697266,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:54.304989,6783,1720190274,290652879,imu_link,-0.005180154927074909,0.01208894606679678,-0.6532425284385681,-0.7570344805717468,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.003192675532773137,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.3256114423274994,-0.07661445438861847,9.557653427124023,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:54.382014,6784,1720190274,373652879,imu_link,-0.005227997899055481,0.012121385894715786,-0.6532426476478577,-0.7570335268974304,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.0,0.0,-0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.20111294090747833,-0.07182604819536209,9.624691009521484,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:54.484743,6785,1720190274,476652879,imu_link,-0.005177222192287445,0.012124800123274326,-0.6532093286514282,-0.757062554359436,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.002128450432792306,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.15322890877723694,-0.038307227194309235,9.653421401977539,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:54.587532,6786,1720190274,579652879,imu_link,-0.00522320531308651,0.01209739688783884,-0.6531915068626404,-0.7570780515670776,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.002128450432792306,-0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.272938996553421,-0.014365210197865963,9.624691009521484,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:54.693405,6787,1720190274,682652879,imu_link,-0.005208060145378113,0.012098170816898346,-0.6531942486763,-0.7570757865905762,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.002128450432792306,-0.001064225216396153,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.2968810200691223,-0.07182604819536209,9.59596061706543,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:54.798620,6788,1720190274,785652879,imu_link,-0.005218592472374439,0.012142130173742771,-0.6532124280929565,-0.7570593357086182,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.002128450432792306,0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.3256114423274994,-0.033518824726343155,9.677363395690918,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:54.896251,6789,1720190274,888724042,imu_link,-0.005284431390464306,0.012157994322478771,-0.6532226800918579,-0.7570497989654541,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.001064225216396153,0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.35434186458587646,-0.19153612852096558,9.404424667358398,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:54.999767,6790,1720190274,991724042,imu_link,-0.0053291842341423035,0.012173633091151714,-0.6532430052757263,-0.7570316791534424,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.0,0.0,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.26336219906806946,-0.10055647045373917,9.730035781860352,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:55.082808,6791,1720190275,74724042,imu_link,-0.0053298091515898705,0.012200172990560532,-0.6532256007194519,-0.7570462822914124,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.0,0.0,-0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.24899697303771973,-0.05267243832349777,9.490615844726562,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
